Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish,schinese
drinkDragonsBottledSuperPumpkinAwesomeSauce,items,Food,New,"Dragon's Bottled Super Pumpkin Awesome Sauce",,,,,,“龙瓶超级南瓜棒酱”
drinkDragonsBottledSuperPumpkinAwesomeSauceDesc,items,Food,New,"Are you still tired of getting bent by those pesky traders even with the other Awesome Sauce?\nTake a shot of Dragon's Super Pumpkin Awesome Sauce\nand get a much, better deal overall!",,,,,,“你还厌倦了被那些讨厌的商人，即使是和其他令人敬畏的酱吗？ \n拍一张龙的超级南瓜棒酱，得到一个更多，更好的整体交易！ “
drinkDragonsBottledSuperPumpkinAwesomeSauceSchematic,items,Food,New,"Dragon's Bottled Super Pumpkin Awesome Sauce Recipe",,,,,,“龙瓶超级南瓜棒酱配方”
drinkDragonsBottledSuperPumpkinMoonshine,items,Food,New,"Dragon's Bottled Super Pumpkin Moonshine",,,,,,“龙的瓶装超级南瓜月亮”
drinkDragonsBottledSuperPumpkinMoonshineDesc,items,Food,New,"Nuthin' makes settling it the old way easier than drinking some of Dragon's Bottled Super Pumpkin Moonshine. \nGives all melee damage a punch that will makes the original Moonshine a joke. Also Increases fortitude, damage resistance and a bunch of other stuff.",,,,,,“Nuthin”使解决它的老方式比喝一些龙的瓶装超级南瓜月亮.\n给所有近战伤害一拳，这将使原来的蒙辛成为一个笑话.也增加坚韧，伤害抵抗和其他一些东西.“
drinkDragonsBottledSuperPumpkinMoonshineSchematic,items,Food,New,"Dragon's Bottled Super Pumpkin Moonshine Recipe",,,,,,“龙的瓶装超级南瓜酒配方”
drinkSuperNitroPumpkinSpiceLatte,items,Food,New,"Super Nitro Pumpkin Spice Latte",,,,,,“超级硝基南瓜拿铁”
drinkSuperNitroPumpkinSpiceLatteDesc,items,Food,New,"Extremely one of the rarest drink you can find in the land. Has Coffee Beans, Blended Pumpkin, Pumpkin Spices, Super Pumpkin Beer, and a Mega Crush! This drink will blow your mind and make you super fast. WARNING! Drinking more than one at a time may cause immediate heart failure. DRINK AT YOUR OWN RISK. -Dragon",,,,,,“极其稀有的酒你可以找到.咖啡豆，混合南瓜，南瓜香料，超级南瓜啤酒，和一个大型粉碎!这种饮料会打击你的头脑，让你非常快.警告!喝超过一次可能会导致心脏衰竭.喝你的自己的风险.龙”
drinkSuperNitroPumpkinSpiceLatteSchematic,items,Food,New,"Super Nitro Pumpkin Spice Latte Recipe",,,,,,“超级硝基南瓜拿铁配方”
drinkNitroPumpkinSpiceLatte,items,Food,New,"Nitro Pumpkin Spice Latte",,,,,,“硝基南瓜拿铁”
drinkNitroPumpkinSpiceLatteDesc,items,Food,New,"Not the rarest and easier on the heart this drink is. Has Coffee Beans, Blended Pumpkin, Pumpkin Spices, Beer, and a Mega Crush! This drink will make you super fast. WARNING! Drinking more than one a day may cause liver and kidney failure, eventually. I cannot promise you anything, good luck! -Dragon",,,,,,“不是最稀有和心脏这种饮料.咖啡豆，混合南瓜，南瓜香料，啤酒，和一个大型粉碎!这种饮料会使你非常快.警告!每天喝超过一个可能导致肝脏和肾脏衰竭，最终.我不能向你保证什么，祝你好运!龙”
drinkNitroPumpkinSpiceLatteSchematic,items,Food,New,"Nitro Pumpkin Spice Latte Recipe",,,,,,“硝基南瓜拿铁配方”
drinkDragonsBottledSuperPumpkinBeer,items,Food,New,"Dragon's Bottled Super Pumpkin Beer",,,,,,“龙超级南瓜瓶装的啤酒”
