Key,UsedInMainMenu,Source,Context,Changes,English, French,German,Klingon,Spanish,Polish,schinese
foodScrambledEggs,,item,Food,newKey,Scrambled Eggs [ff0000](MOD)[-],,,,,,炒鸡蛋[ff0000](MOD)[-]
foodScrambledEggsDesc,,item,Food,newKey,Tasty. Fills you up a tiny bit.,,,,,,美味.一点点地填满你.
foodBaconEggsHashbrownsToast,,item,Food,newKey,Bacon Eggs Hashbrowns and Toast [ff0000](MOD)[-],,,,,,培根鸡蛋土豆饼和吐司[ff0000]（MOD）[-]
foodBaconEggsHashbrownsToastDesc,,item,Food,newKey,Usually eaten for breakfast - this dish fills you up fairly well.,,,,,,通常作为早餐吃-这道菜会让你吃得饱饱的.
foodChickenNuggets,,item,Food,newKey,Chicken Nuggets [ff0000](MOD)[-],,,,,,鸡块[ff0000](MOD)[-]
foodChickenNuggetsDesc,,item,Food,newKey,Made with Chickens. Tasty. Fills you up a tiny bit.,,,,,,用鸡肉制成.可口.一点点地填满你.
foodSlicesOfBacon,,item,Food,newKey,Cooked Bacon [ff0000](MOD)[-],,,,,,熏肉[ff0000]（MOD）[-]
foodSlicesOfBaconDesc,,item,Food,newKey,Made with Pigs/Boars. Tasty. Fills you up a tiny bit.,,,,,,用猪/野猪肉制成.可口.一点点地填满你.
foodRoast,,item,Food,newKey,Roast [ff0000](MOD)[-],,,,,,烤肉[ff0000]（MOD）[-]
foodRoastDesc,,item,Food,newKey,It's what's for dinner!,,,,,,这是晚餐吃的！
foodCrumbs,,item,Food,newKey,Crumbs [ff0000](MOD)[-],,,,,,面包屑[ff0000]（MOD）[-]
foodCrumbsDesc,,item,Food,newKey,Usually found after a messy person ate something. You can eat em' but they won't fill you up much.,,,,,,通常是在一个杂乱的人吃了东西之后发现的.你可以吃掉，但这玩意不会使你吃饱.
foodSalad,,item,Food,newKey,Salad [ff0000](MOD)[-],,,,,,沙拉[ff0000]（MOD）[-]
foodSaladDesc,,item,Food,newKey,Tasty... Made from a plant called Lettuce.,,,,,,鲜美...由一种叫做生菜的植物制成.
foodLettuce,,item,Food,newKey,Lettuce [ff0000](MOD)[-],,,,,,生菜[ff0000]（MOD）[-]
